ID,irt_difficulty,score_var,split
f4_r656,-3.988466262817383,TrustPhys,train-None
f4_r1085,5.561184883117676,TrustPhys,train-None
f5_r402,-3.626565456390381,TrustPhys,train-None
f2_r963,3.575094699859619,TrustPhys,train-None
f5_r1443,10.344086647033691,TrustPhys,train-None
f5_r850,4.441730499267578,TrustPhys,train-None
f3_r188,-3.9533755779266357,TrustPhys,train-None
f4_r833,4.93467903137207,TrustPhys,train-None
f2_r1073,4.310452461242676,TrustPhys,train-None
f5_r1196,-9.323928833007812,TrustPhys,train-None
f2_r1437,-17.066364288330078,TrustPhys,train-None
f5_r1677,-8.581070899963379,TrustPhys,train-None
f4_r1014,3.062361478805542,TrustPhys,train-None
f2_r1540,0.46809008717536926,TrustPhys,train-None
f2_r820,0.555404007434845,TrustPhys,train-None
f2_r1074,-7.227505683898926,TrustPhys,train-None
f4_r858,0.6652213335037231,TrustPhys,train-None
f4_r1427,16.874113082885742,TrustPhys,train-None
f5_r316,-4.262914657592773,TrustPhys,train-None
f4_r628,-1.4741051197052002,TrustPhys,train-None
f5_r476,-5.57435417175293,TrustPhys,train-None
f2_r138,-3.762176752090454,TrustPhys,train-None
f2_r811,-2.396527051925659,TrustPhys,train-None
f3_r842,-17.00834083557129,TrustPhys,train-None
f4_r1276,2.9830546379089355,TrustPhys,train-None
f2_r144,-18.393125534057617,TrustPhys,train-None
f3_r1421,-4.526941776275635,TrustPhys,train-None
f2_r1212,-8.702774047851562,TrustPhys,train-None
f3_r193,3.827188014984131,TrustPhys,train-None
f2_r1082,-17.58139419555664,TrustPhys,train-None
f5_r475,-3.6488871574401855,TrustPhys,train-None
f5_r756,-18.224092483520508,TrustPhys,train-None
f4_r162,6.963378429412842,TrustPhys,train-None
f5_r1332,17.94121551513672,TrustPhys,train-None
f2_r954,-1.457301378250122,TrustPhys,train-None
f3_r836,-4.316209316253662,TrustPhys,train-None
f4_r515,-8.887251853942871,TrustPhys,train-None
f5_r698,-5.343422889709473,TrustPhys,train-None
f5_r1686,-6.034726142883301,TrustPhys,train-None
f2_r435,-2.4736669063568115,TrustPhys,train-None
f2_r115,-1.5639280080795288,TrustPhys,train-None
f4_r416,-19.53628921508789,TrustPhys,train-None
f2_r1588,-10.097976684570312,TrustPhys,train-None
f4_r943,-12.557010650634766,TrustPhys,train-None
f4_r606,-11.210038185119629,TrustPhys,train-None
f4_r20,-5.837396621704102,TrustPhys,train-None
f2_r716,-3.4841666221618652,TrustPhys,train-None
f4_r354,-3.5297505855560303,TrustPhys,train-None
f3_r586,4.498469352722168,TrustPhys,train-None
f4_r936,-12.061458587646484,TrustPhys,train-None
f2_r450,8.026127815246582,TrustPhys,train-None
f2_r1001,-1.1361432075500488,TrustPhys,train-None
f4_r508,-10.968304634094238,TrustPhys,train-None
f5_r306,0.8719689249992371,TrustPhys,train-None
f5_r44,-16.30111312866211,TrustPhys,train-None
f5_r99,4.987726211547852,TrustPhys,train-None
f3_r333,-13.493247032165527,TrustPhys,train-None
f3_r1633,-8.146804809570312,TrustPhys,train-None
f3_r1493,9.6563081741333,TrustPhys,train-None
f4_r1324,-7.96957540512085,TrustPhys,train-None
f5_r70,-13.684615135192871,TrustPhys,train-None
f2_r689,3.736912727355957,TrustPhys,train-None
f3_r828,15.98967170715332,TrustPhys,train-None
f4_r670,1.0617482662200928,TrustPhys,train-None
f2_r160,-12.022370338439941,TrustPhys,train-None
f4_r641,-2.5605950355529785,TrustPhys,train-None
f2_r308,0.3545750677585602,TrustPhys,train-None
