ID,irt_difficulty,score_var,split
f2_r1093,-4.677758693695068,SubjectiveLit,train-None
f2_r1293,-6.829245567321777,SubjectiveLit,train-None
f3_r1150,2.7814033031463623,SubjectiveLit,train-None
f2_r1339,-1.3224139213562012,SubjectiveLit,train-None
f3_r849,-0.8902585506439209,SubjectiveLit,train-None
f3_r240,-0.6982762813568115,SubjectiveLit,train-None
f3_r1504,12.489500999450684,SubjectiveLit,train-None
f3_r763,-3.4341254234313965,SubjectiveLit,train-None
f4_r956,-7.064361095428467,SubjectiveLit,train-None
f5_r501,5.120409965515137,SubjectiveLit,train-None
f5_r1413,3.758387327194214,SubjectiveLit,train-None
f5_r1204,1.413832187652588,SubjectiveLit,train-None
f3_r1170,4.823336601257324,SubjectiveLit,train-None
f3_r229,-4.03572940826416,SubjectiveLit,train-None
f3_r527,-7.96224308013916,SubjectiveLit,train-None
f4_r1370,8.72075080871582,SubjectiveLit,train-None
f3_r772,-1.3844106197357178,SubjectiveLit,train-None
f5_r593,-5.879376411437988,SubjectiveLit,train-None
f5_r1461,-11.75308895111084,SubjectiveLit,train-None
f3_r782,-5.1716389656066895,SubjectiveLit,train-None
f3_r1378,-1.848469614982605,SubjectiveLit,train-None
f4_r1074,-4.795986175537109,SubjectiveLit,train-None
f3_r393,5.353690147399902,SubjectiveLit,train-None
f5_r1000,0.8201477527618408,SubjectiveLit,train-None
f3_r725,-2.048717737197876,SubjectiveLit,train-None
f3_r928,-7.915130138397217,SubjectiveLit,train-None
f5_r845,-10.739986419677734,SubjectiveLit,train-None
f2_r416,5.329040050506592,SubjectiveLit,train-None
f4_r1277,-7.792198181152344,SubjectiveLit,train-None
f3_r441,-6.472194671630859,SubjectiveLit,train-None
f3_r56,6.507916450500488,SubjectiveLit,train-None
f2_r175,17.855318069458008,SubjectiveLit,train-None
f5_r823,-7.743904113769531,SubjectiveLit,train-None
f3_r629,7.950457572937012,SubjectiveLit,train-None
f2_r742,-7.488503456115723,SubjectiveLit,train-None
f4_r1391,8.431896209716797,SubjectiveLit,train-None
f5_r638,-4.5232157707214355,SubjectiveLit,train-None
f5_r922,3.9494376182556152,SubjectiveLit,train-None
f5_r1528,-11.363263130187988,SubjectiveLit,train-None
f4_r103,-8.06920051574707,SubjectiveLit,train-None
f2_r1375,-2.822885036468506,SubjectiveLit,train-None
f3_r1077,3.921086311340332,SubjectiveLit,train-None
f4_r81,-15.436690330505371,SubjectiveLit,train-None
f5_r1195,-8.423480033874512,SubjectiveLit,train-None
f2_r1491,9.750469207763672,SubjectiveLit,train-None
f2_r891,-1.9575037956237793,SubjectiveLit,train-None
f2_r837,-4.906109809875488,SubjectiveLit,train-None
f4_r1615,-8.79551887512207,SubjectiveLit,train-None
f4_r424,-2.3665666580200195,SubjectiveLit,train-None
f3_r397,-7.25468111038208,SubjectiveLit,train-None
f2_r277,-0.7279698252677917,SubjectiveLit,train-None
f2_r1580,-5.387887954711914,SubjectiveLit,train-None
f3_r1208,-3.1304852962493896,SubjectiveLit,train-None
f2_r584,-7.989606857299805,SubjectiveLit,train-None
f3_r536,-6.3097243309021,SubjectiveLit,train-None
f4_r763,-6.798325061798096,SubjectiveLit,train-None
f3_r1011,0.899275541305542,SubjectiveLit,train-None
f5_r17,-2.8077280521392822,SubjectiveLit,train-None
f3_r359,-1.2232577800750732,SubjectiveLit,train-None
f2_r104,-3.792698383331299,SubjectiveLit,train-None
f2_r1418,-9.595318794250488,SubjectiveLit,train-None
f5_r324,-6.109739303588867,SubjectiveLit,train-None
f3_r1357,3.1702609062194824,SubjectiveLit,train-None
f4_r238,-9.001202583312988,SubjectiveLit,train-None
f4_r1310,5.540807723999023,SubjectiveLit,train-None
f5_r870,-9.30726432800293,SubjectiveLit,train-None
f2_r547,7.154000759124756,SubjectiveLit,train-None
f3_r57,0.8715599179267883,SubjectiveLit,train-None
f3_r1134,-1.3230071067810059,SubjectiveLit,train-None
f2_r1004,0.31993505358695984,SubjectiveLit,train-None
f5_r1443,-1.3970698118209839,SubjectiveLit,train-None
f5_r233,-5.6737799644470215,SubjectiveLit,train-None
f4_r941,-2.7965824604034424,SubjectiveLit,train-None
f5_r111,4.788681983947754,SubjectiveLit,train-None
f3_r1571,-0.7049105763435364,SubjectiveLit,train-None
f4_r1092,-0.8556010723114014,SubjectiveLit,train-None
f2_r937,3.8607230186462402,SubjectiveLit,train-None
f4_r1540,-13.436298370361328,SubjectiveLit,train-None
f3_r357,-0.02361220493912697,SubjectiveLit,train-None
f2_r309,0.5311258435249329,SubjectiveLit,train-None
f3_r1106,-16.325258255004883,SubjectiveLit,train-None
f2_r582,10.071043968200684,SubjectiveLit,train-None
f3_r856,-4.277283668518066,SubjectiveLit,train-None
f2_r1287,-3.627737045288086,SubjectiveLit,train-None
f5_r778,-10.963347434997559,SubjectiveLit,train-None
f5_r296,-5.6099982261657715,SubjectiveLit,train-None
f5_r1255,0.36176761984825134,SubjectiveLit,train-None
f5_r1078,0.3667076528072357,SubjectiveLit,train-None
f5_r1366,-11.269925117492676,SubjectiveLit,train-None
f5_r1575,7.528970718383789,SubjectiveLit,train-None
f5_r725,-3.614595413208008,SubjectiveLit,train-None
f3_r1606,-8.326142311096191,SubjectiveLit,train-None
f5_r78,5.0588555335998535,SubjectiveLit,train-None
f5_r1499,-0.9925482273101807,SubjectiveLit,train-None
f4_r477,-12.179452896118164,SubjectiveLit,train-None
f2_r600,5.630992889404297,SubjectiveLit,train-None
f4_r137,0.7516601085662842,SubjectiveLit,train-None
f3_r1171,13.052739143371582,SubjectiveLit,train-None
f4_r1140,9.499797821044922,SubjectiveLit,train-None
f3_r1500,-11.107463836669922,SubjectiveLit,train-None
f3_r1028,-11.499347686767578,SubjectiveLit,train-None
f3_r207,-12.190845489501953,SubjectiveLit,train-None
f4_r889,3.6545169353485107,SubjectiveLit,train-None
f2_r1172,-4.2025041580200195,SubjectiveLit,train-None
f3_r1350,-4.241549968719482,SubjectiveLit,train-None
f2_r1518,-9.959049224853516,SubjectiveLit,train-None
f4_r329,10.675771713256836,SubjectiveLit,train-None
f2_r1097,-4.278462886810303,SubjectiveLit,train-None
f3_r884,3.343057155609131,SubjectiveLit,train-None
f2_r365,-1.98563814163208,SubjectiveLit,train-None
f3_r1633,-12.559691429138184,SubjectiveLit,train-None
f4_r1687,14.926056861877441,SubjectiveLit,train-None
f2_r673,7.051657676696777,SubjectiveLit,train-None
f2_r1510,-5.076459884643555,SubjectiveLit,train-None
f4_r211,-5.481889247894287,SubjectiveLit,train-None
f2_r15,-3.2523300647735596,SubjectiveLit,train-None
f5_r274,-0.1785757839679718,SubjectiveLit,train-None
f2_r827,-5.473141193389893,SubjectiveLit,train-None
f2_r1396,-6.79457950592041,SubjectiveLit,train-None
f4_r406,7.131383895874023,SubjectiveLit,train-None
f2_r541,-0.4502779245376587,SubjectiveLit,train-None
f3_r1366,-0.12947513163089752,SubjectiveLit,train-None
f3_r1273,-0.8236335515975952,SubjectiveLit,train-None
f5_r1391,-3.763251304626465,SubjectiveLit,train-None
f4_r911,0.09373681992292404,SubjectiveLit,train-None
f4_r841,-4.975242614746094,SubjectiveLit,train-None
f3_r87,-10.410561561584473,SubjectiveLit,train-None
f3_r1474,-14.487770080566406,SubjectiveLit,train-None
f5_r329,-11.68901252746582,SubjectiveLit,train-None
f2_r965,5.344824314117432,SubjectiveLit,train-None
f3_r676,-6.690364837646484,SubjectiveLit,train-None
f4_r1164,4.007786273956299,SubjectiveLit,train-None
f4_r1678,8.192537307739258,SubjectiveLit,train-None
f2_r316,-4.070897579193115,SubjectiveLit,train-None
f4_r319,-6.732165336608887,SubjectiveLit,train-None
f5_r516,0.19927848875522614,SubjectiveLit,train-None
f2_r820,-14.957935333251953,SubjectiveLit,train-None
