ID,irt_difficulty,score_var,split
f4_r505,6.907879829406738,Anxiety,train-None
f4_r1401,3.971946954727173,Anxiety,train-None
f2_r1454,3.241731643676758,Anxiety,train-None
f4_r1675,-0.21912525594234467,Anxiety,train-None
f4_r1676,0.4469861686229706,Anxiety,train-None
f4_r842,-7.317616939544678,Anxiety,train-None
f2_r1610,1.452278971672058,Anxiety,train-None
f2_r1467,-0.35923030972480774,Anxiety,train-None
f3_r134,3.5586512088775635,Anxiety,train-None
f2_r1412,-3.096001386642456,Anxiety,train-None
f4_r1097,21.473228454589844,Anxiety,train-None
f5_r1059,-3.9956719875335693,Anxiety,train-None
f3_r281,-3.459308624267578,Anxiety,train-None
f2_r586,0.5741934776306152,Anxiety,train-None
f3_r1660,-1.2583544254302979,Anxiety,train-None
f3_r201,-10.316511154174805,Anxiety,train-None
f3_r737,4.79531192779541,Anxiety,train-None
f2_r1457,-12.759572982788086,Anxiety,train-None
f5_r1180,-7.210017204284668,Anxiety,train-None
f3_r997,1.8353691101074219,Anxiety,train-None
f2_r1393,-7.164937973022461,Anxiety,train-None
f3_r1066,4.854798316955566,Anxiety,train-None
f2_r747,5.8496928215026855,Anxiety,train-None
f2_r1637,-6.221989631652832,Anxiety,train-None
f5_r1247,5.22196102142334,Anxiety,train-None
f2_r1342,-0.40387243032455444,Anxiety,train-None
f5_r317,-0.46228834986686707,Anxiety,train-None
f3_r2,-15.527302742004395,Anxiety,train-None
f2_r318,-4.013411045074463,Anxiety,train-None
f2_r125,1.113040804862976,Anxiety,train-None
f5_r770,1.0871570110321045,Anxiety,train-None
f3_r1578,-5.5819268226623535,Anxiety,train-None
f5_r399,-17.17426872253418,Anxiety,train-None
f5_r1537,-3.5850212574005127,Anxiety,train-None
f5_r1306,-1.5760102272033691,Anxiety,train-None
f5_r614,-0.5342893004417419,Anxiety,train-None
f2_r1353,0.2843016982078552,Anxiety,train-None
f5_r989,-8.646927833557129,Anxiety,train-None
f2_r794,-15.943309783935547,Anxiety,train-None
f4_r2,0.8482552170753479,Anxiety,train-None
f3_r1116,-2.5626227855682373,Anxiety,train-None
f2_r45,-1.1106442213058472,Anxiety,train-None
f3_r751,1.3675938844680786,Anxiety,train-None
f4_r1461,1.0574238300323486,Anxiety,train-None
f5_r19,-7.071098804473877,Anxiety,train-None
f3_r1384,-15.4769926071167,Anxiety,train-None
f4_r479,1.4751313924789429,Anxiety,train-None
f4_r413,0.31755056977272034,Anxiety,train-None
f2_r1193,4.782290458679199,Anxiety,train-None
f5_r994,-9.836732864379883,Anxiety,train-None
f4_r246,-1.534820795059204,Anxiety,train-None
f2_r278,1.4306799173355103,Anxiety,train-None
f2_r54,-6.483990669250488,Anxiety,train-None
f4_r324,0.3773324489593506,Anxiety,train-None
f4_r107,-11.290450096130371,Anxiety,train-None
f2_r576,-1.3178224563598633,Anxiety,train-None
f5_r1029,-0.435711145401001,Anxiety,train-None
f2_r1303,-3.4896938800811768,Anxiety,train-None
f2_r760,-1.884368896484375,Anxiety,train-None
f5_r266,-1.3586187362670898,Anxiety,train-None
f4_r59,1.6273150444030762,Anxiety,train-None
f2_r847,-3.5739798545837402,Anxiety,train-None
f5_r417,2.8347184658050537,Anxiety,train-None
f4_r933,-14.244745254516602,Anxiety,train-None
f5_r531,-0.03209128975868225,Anxiety,train-None
f4_r321,-12.995912551879883,Anxiety,train-None
f4_r891,0.13837166130542755,Anxiety,train-None
f5_r1307,-1.110832691192627,Anxiety,train-None
f4_r28,2.807908296585083,Anxiety,train-None
f2_r469,-3.948673963546753,Anxiety,train-None
f4_r1587,-2.380997896194458,Anxiety,train-None
f2_r359,-7.518464088439941,Anxiety,train-None
f3_r91,-4.1253275871276855,Anxiety,train-None
f2_r969,-12.70669937133789,Anxiety,train-None
f2_r1181,-10.190592765808105,Anxiety,train-None
f2_r854,-1.2618821859359741,Anxiety,train-None
f4_r264,-3.8089194297790527,Anxiety,train-None
f2_r555,-0.08876759558916092,Anxiety,train-None
f3_r987,-10.334810256958008,Anxiety,train-None
f4_r336,-0.9392247796058655,Anxiety,train-None
f5_r829,10.42955207824707,Anxiety,train-None
f5_r540,-16.64258575439453,Anxiety,train-None
f3_r425,-3.1434714794158936,Anxiety,train-None
f3_r740,-0.7271266579627991,Anxiety,train-None
f5_r1226,-11.679308891296387,Anxiety,train-None
f3_r1490,2.513015031814575,Anxiety,train-None
f2_r1608,0.08003149181604385,Anxiety,train-None
f5_r1662,-1.922124981880188,Anxiety,train-None
f3_r1527,3.344801187515259,Anxiety,train-None
f2_r1356,-5.332133769989014,Anxiety,train-None
f2_r1563,6.438975811004639,Anxiety,train-None
f2_r1053,3.628718614578247,Anxiety,train-None
f4_r1418,-0.15650750696659088,Anxiety,train-None
f5_r1529,14.836090087890625,Anxiety,train-None
f3_r1685,-5.303926944732666,Anxiety,train-None
f2_r825,4.54910135269165,Anxiety,train-None
f3_r722,6.400063514709473,Anxiety,train-None
f2_r1330,1.446921944618225,Anxiety,train-None
f2_r1172,-0.2704111635684967,Anxiety,train-None
f5_r211,3.9756383895874023,Anxiety,train-None
f5_r1050,-1.3528703451156616,Anxiety,train-None
f2_r560,-0.8744606971740723,Anxiety,train-None
f3_r963,-1.8238105773925781,Anxiety,train-None
f2_r119,2.915079355239868,Anxiety,train-None
f4_r1376,-10.458436012268066,Anxiety,train-None
f3_r87,-8.227801322937012,Anxiety,train-None
f2_r1371,2.725372314453125,Anxiety,train-None
f2_r962,0.14453920722007751,Anxiety,train-None
f3_r1162,-9.432474136352539,Anxiety,train-None
f4_r461,3.2696046829223633,Anxiety,train-None
f2_r892,-4.31800651550293,Anxiety,train-None
f3_r152,3.4138572216033936,Anxiety,train-None
