ID,irt_difficulty,score_var,split
f5_r1204,-10.654146194458008,TrustPhys,train-Constant
f4_r948,-2.4457130432128906,TrustPhys,train-Constant
f4_r261,-2.9710214138031006,TrustPhys,train-Constant
f3_r853,-0.9431700110435486,TrustPhys,train-Constant
f2_r1160,-6.772653579711914,TrustPhys,train-Constant
f2_r1372,1.6021113395690918,TrustPhys,train-Constant
f4_r1596,4.165366172790527,TrustPhys,train-Constant
f4_r19,-5.26267671585083,TrustPhys,train-Constant
f2_r1030,-3.732107639312744,TrustPhys,train-Constant
f3_r1517,-4.7083516120910645,TrustPhys,train-Constant
f4_r117,-1.6020182371139526,TrustPhys,train-Constant
f3_r1127,-2.9789209365844727,TrustPhys,train-Constant
f3_r1488,-5.437952041625977,TrustPhys,train-Constant
f3_r69,-4.104903221130371,TrustPhys,train-Constant
f4_r868,-2.8469836711883545,TrustPhys,train-Constant
f3_r1152,3.233107089996338,TrustPhys,train-Constant
f2_r1413,-0.8931059837341309,TrustPhys,train-Constant
f4_r1401,-4.705892086029053,TrustPhys,train-Constant
f2_r1454,-4.327210426330566,TrustPhys,train-Constant
f2_r652,-2.4689087867736816,TrustPhys,train-Constant
f2_r535,-0.1219952329993248,TrustPhys,train-Constant
f5_r1117,-3.940385103225708,TrustPhys,train-Constant
f5_r817,0.4099273681640625,TrustPhys,train-Constant
f2_r743,2.1421475410461426,TrustPhys,train-Constant
f4_r842,1.9497829675674438,TrustPhys,train-Constant
f3_r1333,4.847391605377197,TrustPhys,train-Constant
f3_r1659,-5.508707523345947,TrustPhys,train-Constant
f3_r134,-1.6774866580963135,TrustPhys,train-Constant
f2_r991,-0.026556015014648438,TrustPhys,train-Constant
f2_r1412,-3.569511651992798,TrustPhys,train-Constant
f5_r1059,3.741645574569702,TrustPhys,train-Constant
f3_r1275,-1.4469385147094727,TrustPhys,train-Constant
f2_r586,4.678873538970947,TrustPhys,train-Constant
f5_r823,-5.8296217918396,TrustPhys,train-Constant
f2_r63,-0.31897616386413574,TrustPhys,train-Constant
f3_r737,-3.9131107330322266,TrustPhys,train-Constant
f3_r388,8.203486442565918,TrustPhys,train-Constant
f3_r1618,2.1561508178710938,TrustPhys,train-Constant
f3_r997,5.354621887207031,TrustPhys,train-Constant
f2_r133,9.110963821411133,TrustPhys,train-Constant
f3_r1066,-4.760978698730469,TrustPhys,train-Constant
f4_r837,-2.9961230754852295,TrustPhys,train-Constant
f2_r436,3.618438720703125,TrustPhys,train-Constant
f5_r1322,-4.877160549163818,TrustPhys,train-Constant
f5_r295,-9.300593376159668,TrustPhys,train-Constant
f5_r1247,-0.7174341678619385,TrustPhys,train-Constant
f5_r317,4.0848541259765625,TrustPhys,train-Constant
f5_r1597,-5.275313854217529,TrustPhys,train-Constant
f2_r318,-7.672574043273926,TrustPhys,train-Constant
f5_r1080,-2.8666415214538574,TrustPhys,train-Constant
f4_r278,-4.510297775268555,TrustPhys,train-Constant
f5_r1627,-4.072648048400879,TrustPhys,train-Constant
f5_r770,0.8039060831069946,TrustPhys,train-Constant
f3_r1265,5.105266571044922,TrustPhys,train-Constant
f5_r399,-1.3743921518325806,TrustPhys,train-Constant
f5_r1537,-4.037838459014893,TrustPhys,train-Constant
f2_r1353,-2.533886671066284,TrustPhys,train-Constant
f5_r989,4.139131546020508,TrustPhys,train-Constant
f2_r1398,-3.6548831462860107,TrustPhys,train-Constant
f2_r794,-1.568302869796753,TrustPhys,train-Constant
f4_r2,6.0580620765686035,TrustPhys,train-Constant
f4_r345,-3.2378931045532227,TrustPhys,train-Constant
f3_r1116,-1.0123887062072754,TrustPhys,train-Constant
f4_r286,3.4260787963867188,TrustPhys,train-Constant
f2_r45,-8.451981544494629,TrustPhys,train-Constant
f3_r936,-0.1043572798371315,TrustPhys,train-Constant
f5_r19,-4.04639196395874,TrustPhys,train-Constant
f3_r1384,1.8922250270843506,TrustPhys,train-Constant
f4_r1573,3.7384181022644043,TrustPhys,train-Constant
f4_r1639,-2.2610414028167725,TrustPhys,train-Constant
f2_r1193,1.865170955657959,TrustPhys,train-Constant
f5_r994,10.931933403015137,TrustPhys,train-Constant
f5_r1085,-4.603322505950928,TrustPhys,train-Constant
f3_r487,-5.542470455169678,TrustPhys,train-Constant
f2_r979,-1.2582902908325195,TrustPhys,train-Constant
f4_r324,-2.34506893157959,TrustPhys,train-Constant
f5_r731,-10.395905494689941,TrustPhys,train-Constant
f2_r1607,10.147165298461914,TrustPhys,train-Constant
f3_r940,-7.025121688842773,TrustPhys,train-Constant
f4_r59,-5.820258140563965,TrustPhys,train-Constant
f2_r847,-1.2484784126281738,TrustPhys,train-Constant
f2_r943,4.461306571960449,TrustPhys,train-Constant
f5_r417,-4.6504807472229,TrustPhys,train-Constant
f4_r933,6.03388786315918,TrustPhys,train-Constant
f5_r531,2.1243839263916016,TrustPhys,train-Constant
f4_r321,7.425845146179199,TrustPhys,train-Constant
f4_r28,-3.0963640213012695,TrustPhys,train-Constant
f4_r1587,-1.8098821640014648,TrustPhys,train-Constant
f2_r359,-9.753410339355469,TrustPhys,train-Constant
f2_r969,5.855816841125488,TrustPhys,train-Constant
f2_r215,6.209766387939453,TrustPhys,train-Constant
f2_r854,-2.8317952156066895,TrustPhys,train-Constant
f2_r555,7.1543450355529785,TrustPhys,train-Constant
f3_r987,-4.095393657684326,TrustPhys,train-Constant
f3_r444,-4.067699432373047,TrustPhys,train-Constant
f3_r425,2.0950677394866943,TrustPhys,train-Constant
f5_r1226,-5.994867324829102,TrustPhys,train-Constant
f2_r81,-0.49543312191963196,TrustPhys,train-Constant
f2_r1360,-6.193164825439453,TrustPhys,train-Constant
f2_r1537,-8.580026626586914,TrustPhys,train-Constant
f2_r1563,-8.027701377868652,TrustPhys,train-Constant
f2_r1053,-8.59882640838623,TrustPhys,train-Constant
f5_r1529,-2.4346580505371094,TrustPhys,train-Constant
f2_r511,-7.605738639831543,TrustPhys,train-Constant
f5_r1557,-2.371755838394165,TrustPhys,train-Constant
f3_r722,1.8770264387130737,TrustPhys,train-Constant
f2_r1172,3.063380479812622,TrustPhys,train-Constant
f3_r493,6.019250869750977,TrustPhys,train-Constant
f3_r255,-9.694001197814941,TrustPhys,train-Constant
f4_r1122,-3.3978452682495117,TrustPhys,train-Constant
f3_r807,-7.536876201629639,TrustPhys,train-Constant
f2_r560,-1.4432742595672607,TrustPhys,train-Constant
f3_r963,1.5504558086395264,TrustPhys,train-Constant
f2_r119,3.345118522644043,TrustPhys,train-Constant
f4_r1376,5.132725715637207,TrustPhys,train-Constant
f5_r743,-8.658045768737793,TrustPhys,train-Constant
f3_r87,-6.044660568237305,TrustPhys,train-Constant
f4_r442,0.5813915133476257,TrustPhys,train-Constant
f3_r597,5.1395182609558105,TrustPhys,train-Constant
f2_r962,4.2970685958862305,TrustPhys,train-Constant
f3_r1162,-0.7470679879188538,TrustPhys,train-Constant
f3_r152,-1.12848699092865,TrustPhys,train-Constant
f2_r1394,0.5636786818504333,TrustPhys,train-Constant
f5_r158,-11.987690925598145,TrustPhys,train-Constant
f4_r1436,5.234822750091553,TrustPhys,train-Constant
f4_r836,2.1232454776763916,TrustPhys,train-Constant
f4_r1372,-1.3456637859344482,TrustPhys,train-Constant
f3_r907,1.3131581544876099,TrustPhys,train-Constant
f4_r731,-5.442460060119629,TrustPhys,train-Constant
f2_r804,8.171516418457031,TrustPhys,train-Constant
f3_r1292,0.8085734248161316,TrustPhys,train-Constant
