epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7061	0.5134	0.6133	0.6925	0.5220	0.5206
2	0.6977	0.5186	0.6513	0.6911	0.5315	0.5447
3	0.6956	0.5272	0.6769	0.6892	0.5386	0.5655
4	0.6838	0.5530	0.6818	0.6884	0.5482	0.5646
5	0.6783	0.5685	0.7098	0.6845	0.5577	0.5881
6	0.6796	0.5616	0.7118	0.6816	0.5482	0.6032
7	0.6633	0.5944	0.7225	0.6773	0.5707	0.6044
8	0.6621	0.5930	0.7357	0.6755	0.5696	0.6082
9	0.6572	0.5919	0.7483	0.6726	0.5957	0.6163
10	0.6557	0.6061	0.7509	0.6737	0.5517	0.6160
11	0.6483	0.6088	0.7703	0.6651	0.5862	0.6257
12	0.6406	0.6295	0.7751	0.6698	0.5779	0.6113
13	0.6344	0.6329	0.7826	0.6693	0.5957	0.6206
14	0.6358	0.6212	0.7831	0.6793	0.5707	0.6147
15	0.6283	0.6408	0.7928	0.6686	0.5743	0.6178
