epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6977	0.5456	0.7454	0.6680	0.5850	0.6265
2	0.6595	0.5936	0.7833	0.6623	0.6088	0.6470
3	0.6317	0.6239	0.8176	0.6620	0.6302	0.6556
4	0.6072	0.6644	0.8357	0.6740	0.6195	0.6486
5	0.5799	0.6773	0.8541	0.6776	0.5898	0.6375
6	0.5720	0.6947	0.8726	0.6770	0.6088	0.6433
7	0.5486	0.7083	0.8870	0.6956	0.6052	0.6385
8	0.5199	0.7362	0.8966	0.7009	0.6088	0.6378
9	0.5160	0.7325	0.9064	0.7157	0.5862	0.6344
10	0.5119	0.7498	0.9130	0.7230	0.5969	0.6292
11	0.4996	0.7400	0.9235	0.7267	0.5826	0.6231
12	0.4839	0.7491	0.9293	0.7378	0.5922	0.6303
13	0.4790	0.7648	0.9354	0.7449	0.5969	0.6280
14	0.4574	0.7709	0.9391	0.7643	0.5898	0.6246
15	0.4517	0.7811	0.9437	0.7845	0.5933	0.6207
