epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7868	0.5065	0.5812	0.6649	0.6024	0.6075
2	0.6988	0.5256	0.6099	0.6700	0.6153	0.6705
3	0.6916	0.5495	0.6440	0.6684	0.6671	0.6826
4	0.6868	0.5528	0.6744	0.6916	0.4718	0.7083
5	0.6816	0.5548	0.6919	0.6692	0.6318	0.7326
6	0.6800	0.5657	0.7078	0.6527	0.6976	0.7361
7	0.6711	0.5804	0.7377	0.6510	0.6894	0.7382
8	0.6663	0.5909	0.7519	0.6724	0.5847	0.7270
9	0.6673	0.5954	0.7574	0.6478	0.6835	0.7445
10	0.6602	0.6006	0.7630	0.6314	0.6882	0.7407
11	0.6472	0.6084	0.7923	0.6320	0.6918	0.7308
12	0.6448	0.6254	0.7937	0.6323	0.6741	0.7352
13	0.6405	0.6364	0.7917	0.6141	0.6965	0.7302
14	0.6365	0.6213	0.8129	0.6133	0.6812	0.7254
15	0.6406	0.6351	0.8301	0.6215	0.6847	0.7250
