epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7812	0.4803	0.4914	0.6864	0.6295	0.5095
2	0.7087	0.4877	0.5355	0.6890	0.6313	0.5170
3	0.7019	0.5086	0.5415	0.6950	0.3975	0.5098
4	0.6946	0.5062	0.5535	0.7034	0.3327	0.4638
5	0.6968	0.5037	0.5542	0.6917	0.5486	0.5119
6	0.6988	0.4926	0.5531	0.6940	0.4622	0.4995
7	0.6939	0.5049	0.5620	0.7037	0.3363	0.4846
8	0.6964	0.4938	0.5754	0.6994	0.3309	0.4696
9	0.6944	0.5209	0.5781	0.7026	0.3327	0.4822
10	0.6883	0.5333	0.5844	0.7022	0.3399	0.4587
11	0.6964	0.5012	0.5693	0.7077	0.3327	0.4770
12	0.6945	0.5012	0.5736	0.7069	0.3327	0.4671
13	0.6954	0.4901	0.5714	0.7024	0.3327	0.4781
14	0.6912	0.5209	0.5873	0.7081	0.3309	0.4622
15	0.6926	0.5099	0.6107	0.7143	0.3327	0.4586
