epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7628	0.5168	0.6285	0.6981	0.4800	0.5958
2	0.6887	0.5276	0.6819	0.6874	0.5235	0.6820
3	0.6771	0.5820	0.6988	0.6850	0.5565	0.6923
4	0.6490	0.6233	0.7194	0.6794	0.5424	0.7009
5	0.6591	0.6179	0.7223	0.6905	0.4918	0.6954
6	0.6482	0.6274	0.7356	0.6905	0.4847	0.6940
7	0.6411	0.6489	0.7441	0.6849	0.5082	0.7046
8	0.6376	0.6472	0.7369	0.6813	0.5412	0.7043
9	0.6354	0.6462	0.7542	0.6854	0.5141	0.7116
10	0.6339	0.6526	0.7586	0.6799	0.5412	0.7191
11	0.6281	0.6596	0.7666	0.6821	0.5259	0.7154
12	0.6334	0.6485	0.7681	0.6842	0.5200	0.7092
13	0.6233	0.6690	0.7714	0.6817	0.5235	0.7136
14	0.6189	0.6687	0.7727	0.6950	0.4906	0.7113
15	0.6230	0.6549	0.7749	0.6741	0.5706	0.7147
