epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6916	0.5238	0.6294	0.6807	0.5803	0.6468
2	0.6739	0.5789	0.6658	0.6513	0.6064	0.6558
3	0.6618	0.5975	0.6773	0.6611	0.5910	0.6454
4	0.6495	0.6123	0.6879	0.6414	0.6183	0.6624
5	0.6452	0.6178	0.6927	0.6452	0.5933	0.6530
6	0.6378	0.6364	0.7029	0.6443	0.6052	0.6520
7	0.6343	0.6291	0.6985	0.6537	0.6052	0.6538
8	0.6310	0.6284	0.7191	0.6536	0.6005	0.6474
9	0.6303	0.6312	0.7259	0.6524	0.6052	0.6524
10	0.6275	0.6422	0.7373	0.6524	0.6052	0.6448
11	0.6211	0.6412	0.7446	0.6598	0.6052	0.6372
12	0.6196	0.6450	0.7507	0.6648	0.5981	0.6437
13	0.6105	0.6581	0.7514	0.6659	0.5981	0.6458
14	0.6107	0.6594	0.7666	0.6799	0.5850	0.6268
15	0.6010	0.6815	0.7765	0.6808	0.5910	0.6341
