epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6494	0.6237	0.7504	0.6278	0.6565	0.7242
2	0.6129	0.6727	0.7681	0.6054	0.6753	0.7369
3	0.6013	0.6811	0.7706	0.6128	0.6835	0.7419
4	0.5906	0.6851	0.7812	0.5978	0.6753	0.7478
5	0.5889	0.6915	0.7789	0.6166	0.6529	0.7267
6	0.5854	0.7023	0.7915	0.6012	0.6624	0.7470
7	0.5891	0.6902	0.7916	0.6005	0.6882	0.7530
8	0.5753	0.7003	0.7859	0.6070	0.6753	0.7444
9	0.5803	0.6962	0.7907	0.6035	0.6800	0.7433
10	0.5736	0.6996	0.8093	0.5958	0.6894	0.7467
11	0.5630	0.7093	0.8173	0.5884	0.6941	0.7600
12	0.5584	0.7107	0.8107	0.6015	0.6718	0.7472
13	0.5507	0.7164	0.8262	0.5827	0.6929	0.7627
14	0.5471	0.7315	0.8221	0.6058	0.6824	0.7514
15	0.5434	0.7201	0.8368	0.6013	0.6800	0.7435
