epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6758	0.5985	0.7393	0.6546	0.6226	0.6729
2	0.6215	0.6591	0.7817	0.6442	0.6380	0.6931
3	0.5853	0.6847	0.8276	0.6537	0.6321	0.6873
4	0.5539	0.7127	0.8760	0.6610	0.6179	0.6719
5	0.5134	0.7410	0.9015	0.6815	0.6191	0.6608
6	0.4919	0.7568	0.9230	0.7183	0.5755	0.6307
7	0.4765	0.7679	0.9344	0.7301	0.6014	0.6328
8	0.4549	0.7686	0.9390	0.7323	0.5991	0.6446
9	0.4333	0.7905	0.9489	0.7564	0.5908	0.6435
10	0.4225	0.7976	0.9544	0.7792	0.5979	0.6413
11	0.3972	0.8151	0.9639	0.7859	0.6026	0.6335
12	0.3839	0.8212	0.9701	0.8032	0.6097	0.6275
13	0.3736	0.8265	0.9739	0.8124	0.5979	0.6356
14	0.3605	0.8323	0.9740	0.8396	0.6026	0.6374
15	0.3529	0.8343	0.9775	0.8597	0.5920	0.6285
