epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7046	0.4993	0.4922	0.7193	0.4982	0.4893
2	0.7001	0.5129	0.4999	0.7208	0.4994	0.4928
3	0.6989	0.5051	0.4940	0.7216	0.5018	0.4929
4	0.6961	0.5106	0.5124	0.7219	0.4958	0.4948
5	0.6988	0.4983	0.4924	0.7222	0.4946	0.4962
6	0.6991	0.4922	0.4896	0.7224	0.4982	0.4981
7	0.6963	0.5037	0.5063	0.7225	0.4923	0.4995
8	0.6981	0.5075	0.4993	0.7226	0.4946	0.4978
9	0.6991	0.4908	0.4883	0.7226	0.4958	0.4995
10	0.6978	0.5085	0.5008	0.7226	0.5018	0.4999
11	0.6960	0.5095	0.5056	0.7227	0.4935	0.5003
12	0.6985	0.4956	0.4917	0.7227	0.5006	0.4994
13	0.6976	0.4884	0.4911	0.7227	0.5006	0.5002
14	0.6978	0.4925	0.4961	0.7227	0.4958	0.5004
15	0.6977	0.4983	0.4902	0.7227	0.4946	0.5009
