epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6549	0.5958	0.7510	0.6095	0.6576	0.7287
2	0.6222	0.6579	0.7613	0.6092	0.6694	0.7362
3	0.6053	0.6724	0.7716	0.6033	0.6671	0.7422
4	0.6013	0.6744	0.7737	0.6062	0.6671	0.7378
5	0.5913	0.6872	0.7855	0.6009	0.6776	0.7386
6	0.5871	0.6872	0.7887	0.6021	0.6765	0.7375
7	0.5783	0.6909	0.7944	0.5956	0.6682	0.7506
8	0.5770	0.6952	0.7988	0.6074	0.6588	0.7491
9	0.5713	0.7040	0.8028	0.5929	0.6812	0.7482
10	0.5744	0.6986	0.8062	0.5992	0.6800	0.7402
11	0.5592	0.7140	0.8116	0.5964	0.6788	0.7475
12	0.5588	0.7090	0.8147	0.5984	0.6776	0.7498
13	0.5552	0.7167	0.8170	0.6012	0.6871	0.7461
14	0.5530	0.7161	0.8259	0.5939	0.6800	0.7479
15	0.5450	0.7228	0.8305	0.5998	0.6847	0.7475
