epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6957	0.5720	0.5764	0.6774	0.6024	0.5929
2	0.6701	0.5868	0.6239	0.6933	0.4518	0.6105
3	0.6596	0.6113	0.6442	0.7042	0.3976	0.6337
4	0.6387	0.6358	0.7088	0.7056	0.4024	0.6996
5	0.6354	0.6335	0.7047	0.7062	0.4141	0.7015
6	0.6417	0.6446	0.7091	0.6949	0.4600	0.6923
7	0.6350	0.6476	0.7381	0.7055	0.3988	0.7126
8	0.6329	0.6594	0.7439	0.7122	0.3988	0.7164
9	0.6235	0.6574	0.7566	0.7098	0.4153	0.7240
10	0.6146	0.6675	0.7660	0.7347	0.3976	0.7272
11	0.6136	0.6789	0.7628	0.7216	0.3976	0.7185
12	0.6148	0.6678	0.7721	0.7289	0.3976	0.7153
13	0.6071	0.6705	0.7540	0.7434	0.3976	0.7124
14	0.6078	0.6722	0.7853	0.7220	0.4059	0.7228
15	0.6027	0.6880	0.7808	0.7257	0.4071	0.7285
