epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.6890	0.5334	0.6223	0.6928	0.5410	0.6137
2	0.6786	0.5630	0.6625	0.6717	0.5945	0.6336
3	0.6631	0.5957	0.6805	0.6583	0.5981	0.6386
4	0.6534	0.6123	0.6829	0.6484	0.6017	0.6478
5	0.6529	0.6040	0.6871	0.6639	0.5981	0.6192
6	0.6396	0.6233	0.7023	0.6491	0.6100	0.6512
7	0.6346	0.6250	0.7178	0.6472	0.6017	0.6447
8	0.6290	0.6343	0.7237	0.6541	0.5981	0.6325
9	0.6246	0.6467	0.7371	0.6610	0.6017	0.6467
10	0.6200	0.6446	0.7537	0.6577	0.5969	0.6375
11	0.6125	0.6598	0.7512	0.6684	0.5945	0.6458
12	0.6097	0.6601	0.7629	0.6662	0.5945	0.6223
13	0.6015	0.6622	0.7784	0.6886	0.5981	0.6389
14	0.5985	0.6687	0.7878	0.6781	0.5981	0.6299
15	0.5887	0.6756	0.7990	0.6607	0.5981	0.6397
