epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7023	0.4975	0.4903	0.7980	0.6583	0.5868
2	0.6933	0.5111	0.5259	0.8058	0.5881	0.5946
3	0.6767	0.6010	0.6196	0.8120	0.5324	0.5941
4	0.6631	0.5887	0.6608	0.7987	0.6169	0.6184
5	0.6448	0.6466	0.7030	0.7946	0.6349	0.6306
6	0.6293	0.6712	0.7341	0.7960	0.6133	0.6312
7	0.6151	0.7007	0.7624	0.7952	0.6205	0.6365
8	0.6037	0.7081	0.7739	0.7951	0.6133	0.6398
9	0.5881	0.7451	0.7985	0.7889	0.6475	0.6420
10	0.5809	0.7414	0.8062	0.7899	0.6421	0.6428
11	0.5800	0.7315	0.8062	0.7899	0.6385	0.6420
12	0.5759	0.7389	0.8083	0.7883	0.6403	0.6426
13	0.5701	0.7512	0.8227	0.7888	0.6385	0.6427
14	0.5768	0.7525	0.8113	0.7887	0.6385	0.6427
15	0.5640	0.7611	0.8338	0.7886	0.6385	0.6428
