epoch	train_loss	train_acc	train_auc	val_loss	val_acc	val_auc
1	0.7019	0.5158	0.6355	0.6889	0.5386	0.5701
2	0.6968	0.5227	0.6914	0.6841	0.5434	0.5815
3	0.6846	0.5537	0.7013	0.6789	0.5577	0.5995
4	0.6698	0.5830	0.7084	0.6751	0.5553	0.6149
5	0.6623	0.5971	0.7452	0.6709	0.5684	0.6079
6	0.6506	0.5995	0.7477	0.6730	0.5719	0.6055
7	0.6492	0.6061	0.7620	0.6774	0.5660	0.5999
8	0.6295	0.6284	0.7829	0.6685	0.5743	0.6157
9	0.6263	0.6350	0.7899	0.6732	0.5838	0.6124
10	0.6308	0.6350	0.8079	0.6719	0.5803	0.6137
11	0.6041	0.6581	0.8084	0.6802	0.5981	0.6174
12	0.6198	0.6340	0.8225	0.6692	0.6005	0.6256
13	0.6136	0.6494	0.8359	0.6768	0.5767	0.6152
14	0.5966	0.6632	0.8404	0.6797	0.5862	0.6148
15	0.6007	0.6694	0.8443	0.6820	0.5791	0.6118
